id,initiative_id,title,source_refs
"I01-E01","I01","Platform foundation","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E02","I01","Trading workflow","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E03","I01","Instrument workspace","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E04","I01","Trade journal","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I01-E05","I01","Strategy governance","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E06","I01","User experience","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E01","I02","Indian market data","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E02","I02","Global market data","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E03","I02","Macro intelligence","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E04","I02","FII/DII tracking","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E05","I02","Breadth analytics","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E06","I02","Sector rotation","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I03-E01","I03","Indicator engine","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E02","I03","Volume analytics","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I03-E03","I03","Trend theory","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E04","I03","Candlestick analytics","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E05","I03","Technical signal service","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I03-E06","I03","Indicator dashboards","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E07","I03","Technical validation","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I04-E01","I04","Options chain","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02","I04","Greeks analytics","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E03","I04","Options strategies","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E04","I04","Futures analytics","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E05","I04","Margin and expiry risk","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E06","I04","Derivatives backtesting","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E01","I05","Research data lab","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E02","I05","Factor models","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E03","I05","Regime research","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E04","I05","Optimization","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E05","I05","Statistical validation","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E06","I05","Research reporting","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I06-E01","I06","Feature store","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I06-E02","I06","Model training","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I06-E03","I06","Inference services","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I06-E04","I06","Explainable AI","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I06-E05","I06","MLOps","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I06-E06","I06","AI research assistant","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I07-E01","I07","Portfolio construction","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I07-E02","I07","Risk engine","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I07-E03","I07","Stops and sizing","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I07-E04","I07","Drawdown control","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I07-E05","I07","Allocation analytics","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I07-E06","I07","Risk reporting","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I08-E01","I08","Zerodha integration","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I08-E02","I08","Order management","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I08-E03","I08","Execution safety","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I08-E04","I08","Position reconciliation","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I08-E05","I08","Paper trading","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I08-E06","I08","Multi-broker readiness","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I09-E01","I09","News ingestion","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I09-E02","I09","Corporate announcements","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I09-E03","I09","Sentiment analytics","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I09-E04","I09","Event intelligence","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I09-E05","I09","Macro news","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I09-E06","I09","Alerting","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I10-E01","I10","Backtesting","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I10-E02","I10","Walk-forward optimization","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I10-E03","I10","Distributed research","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I10-E04","I10","Monitoring and observability","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I10-E05","I10","Security and compliance","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I10-E06","I10","DevOps and testing","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
